yymmdd,uu
2019-09-01,142093
2019-09-02,134372
2019-09-03,137703
2019-09-04,130252
2019-09-05,126291
2019-09-06,119296
2019-09-07,123992
2019-09-08,133298
2019-09-09,129978
2019-09-10,125507
2019-09-11,123205
2019-09-12,121589
2019-09-13,112718
2019-09-14,114211
2019-09-15,120785
2019-09-16,135313
2019-09-17,127787
2019-09-18,121527
2019-09-19,117486
2019-09-20,105183
2019-09-21,112764
2019-09-22,125125
2019-09-23,136870
2019-09-24,133745
2019-09-25,118605
2019-09-26,115307
2019-09-27,105368
2019-09-28,110137
2019-09-29,125488
2019-09-30,115329
2019-10-01,120072
2019-10-02,117514
2019-10-03,120344
2019-10-04,111996
2019-10-05,114476
2019-10-06,128021
2019-10-07,121305
2019-10-08,116597
2019-10-09,110538
2019-10-10,104045
2019-10-11,92165
2019-10-12,111327
2019-10-13,110159
2019-10-14,123549
2019-10-15,113444
2019-10-16,104610
2019-10-17,104878
2019-10-18,99020
2019-10-19,104424
2019-10-20,109337
2019-10-21,108086
2019-10-22,130132
2019-10-23,113823
2019-10-24,109829
2019-10-25,98033
2019-10-26,103325
2019-10-27,116754
2019-10-28,115145
2019-10-29,112386
2019-10-30,104201
2019-10-31,99260
2019-11-01,95842
2019-11-02,100416
2019-11-03,106715
2019-11-04,119424
2019-11-05,109196
2019-11-06,103599
2019-11-07,104535
2019-11-08,97586
2019-11-09,102412
2019-11-10,113597
2019-11-11,110960
2019-11-12,119866
2019-11-13,107247
2019-11-14,106699
2019-11-15,94767
2019-11-16,101162
2019-11-17,111979
2019-11-18,110718
2019-11-19,121088
2019-11-20,102606
2019-11-21,100512
2019-11-22,93264
2019-11-23,100611
2019-11-24,113372
2019-11-25,109690
2019-11-26,115944
2019-11-27,105421
2019-11-28,103349
2019-11-29,92473
2019-11-30,96676
2019-12-01,109498
2019-12-02,110512
2019-12-03,106808
2019-12-04,100261
2019-12-05,99661
2019-12-06,92379
2019-12-07,98511
2019-12-08,111076
2019-12-09,108726
2019-12-10,107435
2019-12-11,98834
2019-12-12,100555
2019-12-13,92192
2019-12-14,98434
2019-12-15,109358
2019-12-16,110120
2019-12-17,93372
2019-12-18,99841
2019-12-19,99205
2019-12-20,88666
2019-12-21,94589
2019-12-22,101971
2019-12-23,95955
2019-12-24,85332
2019-12-25,83224
2019-12-26,89105
2019-12-27,79665
2019-12-28,77563
2019-12-29,79240
2019-12-30,77891
2019-12-31,66030
